,age,education-num,race,gender,capital-gain,capital-loss,hours-per-week,income,marital-status_Divorced,marital-status_Married-AF-spouse,marital-status_Married-civ-spouse,marital-status_Married-spouse-absent,marital-status_Never-married,marital-status_Separated,marital-status_Widowed,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife
0,39,13,1,1,2174,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,50,13,1,1,0,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,38,9,1,1,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,53,7,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,28,13,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,37,14,1,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,49,5,0,0,0,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,52,9,1,1,0,0,45,1,0,0,1,0,0,0,0,1,0,0,0,0,0
8,31,14,1,0,14084,0,50,1,0,0,0,0,1,0,0,0,1,0,0,0,0
9,42,13,1,1,5178,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
10,37,10,0,1,0,0,80,1,0,0,1,0,0,0,0,1,0,0,0,0,0
11,23,13,1,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,32,12,0,1,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,25,9,1,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,32,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,38,7,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
16,43,14,1,0,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,1,0
17,40,16,1,1,0,0,60,1,0,0,1,0,0,0,0,1,0,0,0,0,0
18,54,9,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,35,5,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,43,7,1,1,0,2042,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,59,9,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,56,13,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
23,19,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24,39,9,1,1,0,0,80,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,49,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26,23,12,1,1,0,0,52,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27,20,10,0,1,0,0,44,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,45,13,1,1,0,1408,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29,30,10,1,1,0,0,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,22,10,0,1,0,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0
31,48,7,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0
32,21,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33,19,9,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,31,10,1,1,0,0,38,1,0,0,1,0,0,0,0,1,0,0,0,0,0
35,48,12,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
36,31,5,1,1,0,0,43,0,0,0,1,0,0,0,0,1,0,0,0,0,0
37,53,13,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
38,24,13,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
39,49,9,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,1,0
40,25,9,1,1,0,0,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41,57,13,0,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
42,53,9,1,1,0,0,38,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43,44,14,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,41,11,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45,29,11,1,1,0,0,43,0,0,0,0,0,1,0,0,0,1,0,0,0,0
46,18,9,1,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,47,15,1,0,0,1902,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1
48,50,13,1,1,0,0,55,1,1,0,0,0,0,0,0,0,1,0,0,0,0
49,47,9,1,1,0,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50,43,10,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
51,46,3,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
52,35,11,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
53,41,9,1,1,0,0,48,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,30,9,1,1,5013,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
55,30,13,1,1,2407,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
56,32,4,1,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,48,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
58,42,16,1,1,0,0,45,1,0,0,1,0,0,0,0,1,0,0,0,0,0
59,29,10,1,1,0,0,58,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,36,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
61,28,10,1,0,0,0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,53,9,1,0,0,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
63,49,10,1,1,0,0,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0
64,25,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
65,19,10,1,1,0,0,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0
66,31,13,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67,29,13,1,1,0,0,70,1,0,0,1,0,0,0,0,1,0,0,0,0,0
68,23,10,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
69,79,10,1,1,0,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0
70,27,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,40,12,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72,67,6,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
73,18,7,1,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0
74,31,4,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
75,18,9,1,1,0,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0
76,52,13,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,46,9,1,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1
78,59,9,1,1,0,0,48,0,0,0,1,0,0,0,0,1,0,0,0,0,0
79,44,9,1,0,14344,0,40,1,1,0,0,0,0,0,0,0,1,0,0,0,0
80,53,9,1,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81,49,9,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
82,33,14,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
83,30,5,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
84,43,16,1,0,0,0,50,1,0,0,0,0,1,0,0,0,1,0,0,0,0
85,57,11,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,37,10,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,28,10,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0
88,34,13,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
89,29,10,1,1,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0
90,48,16,1,1,0,1902,60,1,0,0,1,0,0,0,0,1,0,0,0,0,0
91,37,10,1,1,0,0,48,1,0,0,1,0,0,0,0,1,0,0,0,0,0
92,48,12,1,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0
93,32,9,0,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
94,76,14,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
95,44,13,1,1,15024,0,60,1,0,0,1,0,0,0,0,1,0,0,0,0,0
96,47,14,1,0,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0
97,20,10,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
98,29,9,1,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
99,32,9,1,1,7688,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
100,17,6,1,0,34095,0,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,30,7,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
102,31,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103,42,9,1,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0
104,24,13,1,1,0,0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105,38,15,1,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
106,56,9,1,1,0,1887,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0
107,28,10,1,0,4064,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,36,9,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0
109,53,5,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
110,56,10,1,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0
111,49,11,0,1,0,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0
112,55,10,1,1,0,0,56,0,0,0,1,0,0,0,0,1,0,0,0,0,0
